"TF_cell_line","CC"
"ATF2_K562",0.195733137582073
"ATF3_K562",-0.281797116039247
"ATF4_K562",0.386578596568159
"ATF6_K562",-0.750048880837936
"ATF7_K562",-0.345677225644791
"BACH1_K562",0.314034550458036
"BHLHE40_K562",0.64906586842707
"CEBPB_K562",0.896329941132668
"CEBPG_K562",0.738260715287339
"CREB1_K562",0.0656583520562156
"CREB3_K562",-0.2011504266196
"CREB3L1_K562",0.308832043544223
"CREM_K562",-0.189286516950759
"CTCF_K562",0.36896324871587
"CTCFL_K562",-0.167742684102259
"CUX1_K562",-0.472141282764102
"E2F1_K562",0.0863915683381783
"E2F4_K562",0.313265116116326
"E2F6_K562",-0.186725647103963
"E2F7_K562",0.342636235118782
"E2F8_K562",-0.13865967916903
"EGR1_K562",-0.167600971005719
"ELF1_K562",0.324148011995741
"ELF2_K562",0.293848718555908
"ELF4_K562",-0.14888989606579
"ELK1_K562",0.368985301271481
"ERF_K562",-0.195547598819862
"ESRRA_K562",-0.229440355084943
"ETS1_K562",0.335592476557579
"ETV1_K562",-0.533623614097275
"ETV5_K562",0.189776157149872
"ETV6_K562",0.042207474520369
"FOS_K562",0.226463200941092
"FOSL1_K562",0.23816761875425
"FOXA1_K562",0.0834667618853352
"FOXA3_K562",-0.203525765334609
"FOXK2_K562",-0.198301397659954
"GABPA_K562",0.116926821394927
"GATA1_K562",-0.110649391333483
"GATA2_K562",-0.343788313686567
"HES1_K562",0.491172577656413
"HINFP_K562",-0.00805754401285542
"HMBOX1_K562",-0.676066465845057
"IKZF1_K562",0.254806156985029
"IRF1_K562",0.738347856778822
"IRF2_K562",-0.419467505498749
"IRF9_K562",0.446139890318129
"JUN_K562",0.129439253933713
"JUNB_K562",0.25936065000182
"JUND_K562",-0.126180674742234
"KLF13_K562",-0.0795888485597617
"KLF16_K562",-0.185746069645961
"KLF6_K562",-0.304020754133918
"LEF1_K562",0.509985421540908
"MAFF_K562",0.261765923614423
"MAFG_K562",0.205796981239123
"MAFK_K562",0.0354211804298346
"MAX_K562",-0.119354283176512
"MAZ_K562",-0.253467548177692
"MEF2A_K562",0.872026364176264
"MEF2D_K562",0.179052210759286
"MEIS2_K562",-0.266168890851803
"MGA_K562",0.336273212337989
"MITF_K562",0.817044199967292
"MNT_K562",0.343485073395759
"MXI1_K562",-0.124771466776475
"MYC_K562",-0.483664751123947
"NEUROD1_K562",0.0544943972838856
"NFATC3_K562",-0.0972392666163533
"NFE2_K562",0.00493226064452118
"NFE2L1_K562",0.4834140720364
"NFIC_K562",0.192268025806364
"NFIX_K562",-0.131828938372972
"NFYA_K562",0.140468561150878
"NFYB_K562",0.591603050514549
"NR2C1_K562",0.31523662018124
"NR2C2_K562",-0.338875590611538
"NR2F1_K562",0.00399177081508634
"NR2F2_K562",-0.0325727417070319
"NR4A1_K562",0.188046183396091
"NRF1_K562",0.788573060526106
"PBX2_K562",0.38870971837381
"PKNOX1_K562",0.709818012791362
"RBPJ_K562",-0.190914037039303
"RELA_K562",-0.00716159374557125
"REST_K562",0.00782751594005334
"RFX1_K562",0.247778499965345
"RFX5_K562",-0.522369273318402
"RREB1_K562",0.957407334624214
"RUNX1_K562",0.269907112400365
"SMAD5_K562",0.45313078261154
"SP1_K562",-0.147297418493745
"SP2_K562",-0.296398200927572
"SPI1_K562",0.882008701109155
"SREBF1_K562",0.288437825552925
"SRF_K562",0.403404232266049
"TBX18_K562",0.637348668084782
"TCF3_K562",0.164832301506707
"TCF7_K562",-0.125617375373695
"TEAD1_K562",-0.0973492982268166
"TEAD2_K562",0.631730170901164
"TEAD4_K562",-0.0212589966300278
"TFCP2_K562",-0.318383899989653
"TFDP1_K562",-0.282937060957837
"TFE3_K562",0.532139341773786
"THAP1_K562",-0.367080218651281
"USF1_K562",0.243836036692149
"USF2_K562",0.121074140771194
"VEZF1_K562",0.0893871218930816
"YY1_K562",0.302542768613958
"ZBTB12_K562",0.268898762962115
"ZBTB33_K562",0.30574954724137
"ZBTB7A_K562",0.731898855212575
"ZKSCAN1_K562",0.00456205918552392
"ZNF143_K562",0.44193831671728
"ZNF148_K562",0.232830080104298
"ZNF24_K562",0.926659959460757
"ZNF263_K562",0.633949014409485
"ZNF274_K562",0.424712477489636
"ZNF282_K562",0.31862030225309
"ZNF384_K562",0.919951126065088
"ZNF740_K562",0.315506900743041
"ZSCAN29_K562",0.0353583586846212
"ATF2_HepG2",0.645670149011666
"ATF3_HepG2",0.350447548065856
"ATF4_HepG2",-0.341142667282714
"ATF6_HepG2",0.386769407921416
"ATF7_HepG2",0.280029257218676
"BCL6_HepG2",0.274300067348953
"BHLHE40_HepG2",0.327089615065586
"CEBPA_HepG2",-0.26502559777792
"CEBPB_HepG2",0.109646904242756
"CEBPD_HepG2",0.0384211173300141
"CEBPG_HepG2",-0.0910354871567131
"CREB1_HepG2",0.712940330399927
"CREB3_HepG2",0.602836881743105
"CREM_HepG2",-0.530920590130487
"CTCF_HepG2",0.861684395215385
"DLX6_HepG2",0.00849598163031
"E2F1_HepG2",0.215059208988782
"E2F2_HepG2",0.577047054106845
"E2F4_HepG2",0.166944945951807
"EGR1_HepG2",0.638958172216117
"ELF1_HepG2",0.327233034195614
"ELF3_HepG2",0.411378405831461
"ELF4_HepG2",0.399899711291403
"ELK1_HepG2",0.748906573038153
"ERF_HepG2",0.406667950596763
"ESRRA_HepG2",0.138366696733403
"ETS1_HepG2",0.357786802807055
"ETV4_HepG2",0.117498523038177
"ETV5_HepG2",0.361243028618113
"ETV6_HepG2",0.301682207606272
