TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
HNF1A,HepG2,HNF1A_HepG2,10.4447359668706,17599,82,1.27070029980731e-247
FOXA1,K562,FOXA1_K562,7.24707490902342,417,11,8.5286719993462e-20
GATA1,K562,GATA1_K562,7.10969656077704,2789,75,1.07224595314764e-122
GATA2,K562,GATA2_K562,6.61997118472257,9277,268,0
STAT3,HeLa-S3,STAT3_HeLa-S3,5.22190554626906,17548,24,2.24915247013161e-28
LEF1,K562,LEF1_K562,5.18235805663341,4418,163,1.19908633087149e-161
GATA2,HepG2,GATA2_HepG2,4.57224775805687,7048,75,1.16844691271602e-66
HNF4G,HepG2,HNF4G_HepG2,4.03775272609483,21323,257,1.95122510453411e-179
HNF4A,HepG2,HNF4A_HepG2,3.86316389642349,39124,493,3.78943526797336e-315
TCF7,HepG2,TCF7_HepG2,3.80448208896357,11181,143,3.14962138072603e-90
TCF7L2,HepG2,TCF7L2_HepG2,3.75635790584752,21921,284,4.88415302222561e-173
CEBPD,HepG2,CEBPD_HepG2,3.54482061642426,9981,137,1.32420614170296e-75
FOXA3,K562,FOXA3_K562,3.49089317850302,3031,166,8.08857460805924e-81
RUNX1,K562,RUNX1_K562,3.48316524227942,911,50,1.97426931744682e-25
CEBPA,HepG2,CEBPA_HepG2,3.42659965727746,24643,350,1.06768801152132e-177
NR2F2,HepG2,NR2F2_HepG2,3.17876693173198,7840,120,1.91730650369581e-53
IRF9,K562,IRF9_K562,3.14241073134715,1052,64,3.43632819195985e-26
MEF2D,K562,MEF2D_K562,3.08031404847915,2739,170,6.13895059031949e-64
THRB,HepG2,THRB_HepG2,2.98787281697182,6571,107,4.99332322783688e-42
FOXA1,HepG2,FOXA1_HepG2,2.93824393275705,31875,528,1.23375203858793e-192
NFIC,HepG2,NFIC_HepG2,2.89181373874875,2972,50,3.50835569922124e-19
FOXA1,MCF-7,FOXA1_MCF-7,2.82454798449901,54933,160,2.56923674752775e-56
KLF10,K562,KLF10_K562,2.81015930851045,147,10,0.000216936809924226
MAFG,K562,MAFG_K562,2.80729515356187,10599,722,5.94310754160501e-215
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.7206436792158,47232,124,1.61314651958889e-40
ONECUT2,HepG2,ONECUT2_HepG2,2.66034954625758,5140,94,9.47929643208252e-29
MAFF,K562,MAFF_K562,2.62507595262298,5533,403,4.54608911580997e-103
MEF2A,K562,MEF2A_K562,2.46183698078602,2305,179,5.11444275129426e-40
NFE2L1,K562,NFE2L1_K562,2.449068765383,3971,310,4.78699978816116e-67
FOXA2,HepG2,FOXA2_HepG2,2.40249685865209,31544,639,7.27076008799596e-143
CEBPG,HepG2,CEBPG_HepG2,2.38873544423696,11439,233,1.46040029906064e-52
