TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
USF1_K562,USF1,K562,0.915742951558135,8970,2204,0.999884768154175,27.842
USF2_HeLa-S3,USF2,HeLa-S3,0.4822894059755,36858,629,1,34.928
USF2_HepG2,USF2,HepG2,0.367669400856712,10169,1502,1,74.787
USF2_K562,USF2,K562,0.827856363511008,11046,3002,1,36.013
VEZF1_K562,VEZF1,K562,0.233247527690634,8223,7922,1,12.179
XBP1_HepG2,XBP1,HepG2,0.188049546307583,270,78,1,237.334
YY1_HepG2,YY1,HepG2,0.0641242214511858,1573,1332,1,16.884
YY1_K562,YY1,K562,0.174707271448019,1534,1975,1,18.178
ZBTB33_K562,ZBTB33,K562,0.129863482273534,1168,2023,1,14.011
ZBTB7B_HepG2,ZBTB7B,HepG2,0.340925181241386,6635,1057,1,14.957
ZKSCAN1_HeLa-S3,ZKSCAN1,HeLa-S3,0.911380798960028,2989,27,0.726857352620702,14.094
ZKSCAN1_HepG2,ZKSCAN1,HepG2,0.671904796362023,2486,201,0.999999889128599,49.981
ZKSCAN1_K562,ZKSCAN1,K562,0.780393380776029,1311,378,0.999985741677785,29.789
ZNF143_HeLa-S3,ZNF143,HeLa-S3,0.0722690127758103,3082,351,1,13.492
ZNF143_HepG2,ZNF143,HepG2,0.176965521843066,4406,1352,1,10.193
ZNF143_K562,ZNF143,K562,0.270583443033663,2401,1996,1,16.694
ZNF24_HepG2,ZNF24,HepG2,0.92902870199679,9987,584,0.958918783741547,19.304
ZNF24_K562,ZNF24,K562,1.1307423440668,17506,3484,1.04028051824713e-11,53.337
ZNF274_HepG2,ZNF274,HepG2,0.333219437325535,2558,417,1,15.374
ZNF274_K562,ZNF274,K562,1.4025948938455,187,30,0.0467770823261531,27.038
ZNF282_K562,ZNF282,K562,0.547598431545518,881,362,1,17.681
ZNF384_HepG2,ZNF384,HepG2,0.753337975560475,140347,10111,1,20.804
ZNF384_K562,ZNF384,K562,0.863870393143225,71818,18696,1,15.235
ZNF460_HepG2,ZNF460,HepG2,0.820221390007772,42766,2832,1,12.671
ZNF740_HepG2,ZNF740,HepG2,0.190586639977439,22689,6454,1,12.53
ZNF740_K562,ZNF740,K562,0.229186150630841,14426,14129,1,19.283
