TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
ZNF148,K562,ZNF148_K562,0.197333314895374,27600,7556,1
YY1,K562,YY1_K562,0.192905343889326,2038,578,1
MAZ,K562,MAZ_K562,0.188618275705718,27664,7917,1
ETV5,K562,ETV5_K562,0.18612821137817,3548,1042,1
TFE3,HepG2,TFE3_HepG2,0.183632000928231,2075,167,1
NFYA,K562,NFYA_K562,0.180370311876335,1193,362,1
MAZ,HeLa-S3,MAZ_HeLa-S3,0.17839945942973,43484,605,1
E2F6,K562,E2F6_K562,0.177225759161714,12623,3873,1
SOX18,HepG2,SOX18_HepG2,0.169503291090818,321,28,0.999999999999888
E2F2,HepG2,E2F2_HepG2,0.165318553069996,492,44,1
TCFL5,K562,TCFL5_K562,0.164290095147482,117,39,1
KLF16,HepG2,KLF16_HepG2,0.163781714318217,21474,1927,1
KLF11,HepG2,KLF11_HepG2,0.159963389130092,6134,566,1
EGR1,MCF-7,EGR1_MCF-7,0.159237772291684,23604,765,1
KLF13,HepG2,KLF13_HepG2,0.15893699475102,1527,142,1
SREBF2,HeLa-S3,SREBF2_HeLa-S3,0.155897560019479,563,9,0.999997569075703
ATF3,HepG2,ATF3_HepG2,0.155161083894897,2100,200,1
RFX1,HepG2,RFX1_HepG2,0.154257019051435,3164,303,1
CTCFL,K562,CTCFL_K562,0.154142294128838,2351,834,1
EGR1,HepG2,EGR1_HepG2,0.153432207064539,60312,5707,1
NFYB,K562,NFYB_K562,0.153396274304973,2025,722,1
E2F4,HepG2,E2F4_HepG2,0.153318320012281,1390,134,1
XBP1,HepG2,XBP1_HepG2,0.150880641054034,398,39,1
ESRRB,K562,ESRRB_K562,0.147869056199345,27,10,0.999998209881348
E2F4,K562,E2F4_K562,0.14782673003945,432,160,1
MSX2,MCF-7,MSX2_MCF-7,0.147007335486751,397,14,0.99999999315514
ETS1,K562,ETS1_K562,0.146282849294985,1401,524,1
REST,HeLa-S3,REST_HeLa-S3,0.14523190351514,6590,113,1
MAZ,HepG2,MAZ_HepG2,0.142144414257365,43677,4478,1
ERF,HepG2,ERF_HepG2,0.141217072781701,2533,265,1
NRF1,K562,NRF1_K562,0.140826755526249,13724,5283,1
E2F8,MCF-7,E2F8_MCF-7,0.140436043024992,596,22,0.999999999999488
CREM,HepG2,CREM_HepG2,0.140122438476809,5830,614,1
E2F1,HepG2,E2F1_HepG2,0.13934386684309,1169,124,1
RFX3,HepG2,RFX3_HepG2,0.137764980476489,3386,363,1
ISX,HepG2,ISX_HepG2,0.135185851239082,128,14,0.999999996599126
ELK4,HeLa-S3,ELK4_HeLa-S3,0.132889316851367,13996,262,1
KLF6,HepG2,KLF6_HepG2,0.132621293034958,8899,989,1
KLF9,MCF-7,KLF9_MCF-7,0.130977341773341,82420,3198,1
ZBTB7A,HepG2,ZBTB7A_HepG2,0.128063816538266,2757,318,1
ELK1,HeLa-S3,ELK1_HeLa-S3,0.121726899872361,6600,135,1
ELK1,K562,ELK1_K562,0.119604505861913,1058,484,1
SP1,K562,SP1_K562,0.118508141105854,10841,4961,1
ETV5,HepG2,ETV5_HepG2,0.116408961000043,5579,707,1
TFDP1,HepG2,TFDP1_HepG2,0.112708652844195,5823,762,1
ETS2,K562,ETS2_K562,0.110967575429617,77,38,1
NFYA,HeLa-S3,NFYA_HeLa-S3,0.107780940527836,7491,173,1
THAP1,K562,THAP1_K562,0.10540615667401,335,174,1
ZBTB14,HepG2,ZBTB14_HepG2,0.0993803406398181,10289,1523,1
NFYC,HepG2,NFYC_HepG2,0.0982737781239748,3202,481,1
ETV6,HepG2,ETV6_HepG2,0.0965556009690677,1575,241,1
E2F6,HeLa-S3,E2F6_HeLa-S3,0.096318077612699,21109,544,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.0962099814421854,10405,269,1
ZBTB33,HepG2,ZBTB33_HepG2,0.0953257230582907,3410,528,1
ELF4,HepG2,ELF4_HepG2,0.0900042314583737,3238,531,1
NRF1,HeLa-S3,NRF1_HeLa-S3,0.0897201385626287,9884,274,1
NRF1,HepG2,NRF1_HepG2,0.0890676470912382,10501,1733,1
NFYA,HepG2,NFYA_HepG2,0.088709105726237,2758,459,1
YY1,HepG2,YY1_HepG2,0.0813419933878239,2380,432,1
SP2,K562,SP2_K562,0.0742619834546526,1224,901,1
ELK1,HepG2,ELK1_HepG2,0.0735742926466579,1250,251,1
SP1,MCF-7,SP1_MCF-7,0.0714687495188318,1835,133,1
ELK4,HepG2,ELK4_HepG2,0.0677577995131439,275,60,1
NFYB,HepG2,NFYB_HepG2,0.0664787977980647,3313,735,1
SP2,HepG2,SP2_HepG2,0.062541698876418,12306,2880,1
ETS1,HepG2,ETS1_HepG2,0.0594854747018692,1188,295,1
RFX5,HepG2,RFX5_HepG2,0.0578605774958186,1183,302,1
NRF1,MCF-7,NRF1_MCF-7,0.0535342923119826,10448,1005,1
SP1,HepG2,SP1_HepG2,0.0531027777547498,9622,2654,1
ELK1,MCF-7,ELK1_MCF-7,0.0466842086339091,2517,279,1
FOXK2,MCF-7,FOXK2_MCF-7,0.0466580393811367,90,10,0.999999999993614
E2F4,MCF-7,E2F4_MCF-7,0.0376113820451777,283,39,1
LBX2,HepG2,LBX2_HepG2,0.0262864677042834,16,9,0.999999999998845
