TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
GATA2,K562,GATA2_K562,6.40109920794865,9234,327,0
GATA1,K562,GATA1_K562,6.16753561663923,2776,102,1.20447097457694e-131
LEF1,K562,LEF1_K562,4.49583994112646,4404,222,8.13659693861232e-169
GATA2,HepG2,GATA2_HepG2,4.4808951615822,6988,85,1.73165791484316e-72
FOXA1,K562,FOXA1_K562,4.29498539993281,417,22,6.91966818933625e-17
STAT3,HeLa-S3,STAT3_HeLa-S3,4.22019088778274,17358,34,6.51288594204771e-28
HNF1A,HepG2,HNF1A_HepG2,4.08316027389768,17527,234,2.67575439523302e-166
HNF4A,HepG2,HNF4A_HepG2,3.63132520429736,38956,585,0
TCF7,HepG2,TCF7_HepG2,3.50390552600833,11121,173,1.76131314979396e-92
HNF4G,HepG2,HNF4G_HepG2,3.31763426002186,21239,349,2.82807695655024e-165
MEF2D,K562,MEF2D_K562,3.13479467553302,2739,198,2.41913621902912e-75
CEBPA,HepG2,CEBPA_HepG2,2.95293377589136,24591,454,4.12381489225267e-167
RUNX1,K562,RUNX1_K562,2.94900053848629,911,70,1.87477910790504e-24
KLF10,K562,KLF10_K562,2.87770871938998,127,10,0.000171632731052608
CEBPD,HepG2,CEBPD_HepG2,2.83799622415684,9945,191,2.02441962471271e-65
MAFG,K562,MAFG_K562,2.80246756027487,10571,855,1.72753771826968e-247
FOXA1,MCF-7,FOXA1_MCF-7,2.77880592801599,54856,182,1.89734743083121e-61
NFE2L1,K562,NFE2L1_K562,2.76893994318235,3971,325,9.85894351503079e-93
FOXA1,HepG2,FOXA1_HepG2,2.76340203795216,31779,627,1.31305259328496e-197
TCF7L2,HepG2,TCF7L2_HepG2,2.724840924299,21843,437,6.88174788740593e-134
NR2F2,HepG2,NR2F2_HepG2,2.69068796855694,7800,158,3.33344268315239e-48
FOXA3,K562,FOXA3_K562,2.63164918577439,3031,261,2.38142220595919e-66
IRF9,K562,IRF9_K562,2.59109533131379,1052,92,1.1636589263138e-23
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.57414708400404,47017,151,5.87069308321366e-43
GATA4,HepG2,GATA4_HepG2,2.53318313678552,2417,52,7.50639052074954e-15
MEF2A,K562,MEF2A_K562,2.50142377348881,2285,207,8.14602180650244e-47
SOX13,HepG2,SOX13_HepG2,2.43295825682866,9731,218,1.86169346125036e-51
FOXP1,HepG2,FOXP1_HepG2,2.38049967129531,13757,315,1.8264616589314e-69
MAFF,K562,MAFF_K562,2.37037220978205,5533,529,2.57125904945705e-101
ONECUT2,HepG2,ONECUT2_HepG2,2.3285694336193,5127,120,4.49432493255484e-26
NFE2,K562,NFE2_K562,2.2935636154215,10716,1059,2.60879694434622e-183
JUND,HeLa-S3,JUND_HeLa-S3,2.27012967667916,181422,661,1.36972321341328e-130
FOXA2,HepG2,FOXA2_HepG2,2.2548478882627,31433,760,5.01487714933931e-142
BACH1,K562,BACH1_K562,2.21350657684559,8448,865,9.80190934159424e-136
DBP,HepG2,DBP_HepG2,2.20716753453364,162,4,0.0658959414411991
THRB,HepG2,THRB_HepG2,2.15118826666629,6552,166,1.44274684173674e-28
GATA3,MCF-7,GATA3_MCF-7,2.13769406353729,18785,81,5.24849049677738e-15
