TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
GATA2,K562,GATA2_K562,6.38618082149928,9277,327,0
GATA1,K562,GATA1_K562,6.15332731860714,2789,102,2.72867979561187e-131
GATA2,HepG2,GATA2_HepG2,4.50518706793719,7048,85,3.59045943065675e-73
LEF1,K562,LEF1_K562,4.47876539975426,4418,222,7.67968804566709e-168
FOXA1,K562,FOXA1_K562,4.26511816159011,417,22,1.04562740552414e-16
STAT3,HeLa-S3,STAT3_HeLa-S3,4.24937665050495,17548,34,3.05341934894825e-28
HNF1A,HepG2,HNF1A_HepG2,4.08706626301135,17599,234,1.31437091350064e-166
HNF4A,HepG2,HNF4A_HepG2,3.63554189270934,39124,585,0
TCF7,HepG2,TCF7_HepG2,3.51175426647697,11181,173,6.72225593907563e-93
HNF4G,HepG2,HNF4G_HepG2,3.32030209216151,21323,349,1.44279036813577e-165
KLF10,K562,KLF10_K562,3.30773190688823,147,10,1.26959483907364e-05
MEF2D,K562,MEF2D_K562,3.1129928368787,2739,198,2.65914824358772e-74
CEBPA,HepG2,CEBPA_HepG2,2.94988810612343,24643,454,9.51520391409607e-167
RUNX1,K562,RUNX1_K562,2.92849274186736,911,70,4.07374942020232e-24
CEBPD,HepG2,CEBPD_HepG2,2.83932962574682,9981,191,1.69555578787736e-65
MAFG,K562,MAFG_K562,2.79034464944946,10599,855,3.18891688043348e-245
FOXA1,MCF-7,FOXA1_MCF-7,2.77576614024375,54933,182,2.69232473885231e-61
FOXA1,HepG2,FOXA1_HepG2,2.76304965602915,31875,627,1.42302557283169e-197
NFE2L1,K562,NFE2L1_K562,2.74968135570515,3971,325,2.56520754284883e-91
TCF7L2,HepG2,TCF7L2_HepG2,2.72598840937764,21921,437,4.87979419929083e-134
NR2F2,HepG2,NR2F2_HepG2,2.69599840373946,7840,158,1.97599493432581e-48
FOXA3,K562,FOXA3_K562,2.61334634991831,3031,261,2.6645556465101e-65
CEBPB,HeLa-S3,CEBPB_HeLa-S3,2.57560763753732,47232,151,5.12004096500129e-43
IRF9,K562,IRF9_K562,2.57307633414776,1052,92,2.67632869461806e-23
GATA4,HepG2,GATA4_HepG2,2.53672471692748,2428,52,6.70998938925306e-15
MEF2A,K562,MEF2A_K562,2.50577184328872,2305,207,4.58537314170356e-47
SOX13,HepG2,SOX13_HepG2,2.43030583381016,9751,218,2.54872159519125e-51
FOXP1,HepG2,FOXP1_HepG2,2.38286071653846,13814,315,1.18115081208165e-69
MAFF,K562,MAFF_K562,2.35388445516439,5533,529,1.56235533192437e-99
ONECUT2,HepG2,ONECUT2_HepG2,2.32714611606447,5140,120,4.90316486648192e-26
NFE2,K562,NFE2_K562,2.28185911287244,10736,1059,6.89313302912833e-181
JUND,HeLa-S3,JUND_HeLa-S3,2.27043799073705,182173,661,1.21365796706936e-130
