TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
TCF7,K562,TCF7_K562,1.11626676660923,835,144,0.118962483110421
JUND,MCF-7,JUND_MCF-7,1.10799117390959,47166,351,0.0279552548951126
TEAD4,K562,TEAD4_K562,1.10127062096273,3993,698,0.00931491137469403
IRF2,K562,IRF2_K562,1.10009875268791,2823,494,0.0256883414325465
ESRRA,K562,ESRRA_K562,1.09967305515631,6472,1133,0.00152231057347524
TEAD4,MCF-7,TEAD4_MCF-7,1.09185575695777,10329,78,0.238718859876612
ZBTB12,K562,ZBTB12_K562,1.07802976434207,392,70,0.306657356645393
ZNF384,K562,ZNF384_K562,1.07761202048592,71449,12767,2.49162903556944e-15
ATF2,K562,ATF2_K562,1.07378437083864,11373,2039,0.00149299066424285
NR2C1,K562,NR2C1_K562,1.07247804791894,4585,823,0.0328761699630902
RREB1,K562,RREB1_K562,1.05648980253679,4363,795,0.0792087106571044
FOXK1,HepG2,FOXK1_HepG2,1.05314739246939,6625,307,0.19591469464622
NFIB,HepG2,NFIB_HepG2,1.05159298153199,3814,177,0.271037318443036
ZEB1,HepG2,ZEB1_HepG2,1.03546531128828,6047,285,0.295026538143117
USF2,K562,USF2_K562,1.0338422161358,11020,2052,0.0846467182093461
SIX1,HepG2,SIX1_HepG2,1.03073559074842,2450,116,0.397993012586933
PPARG,HepG2,PPARG_HepG2,1.01624912488175,8392,403,0.388314166671498
NFE2,HepG2,NFE2_HepG2,1.01333475256546,2201,106,0.472529326835171
TCF7L2,HeLa-S3,TCF7L2_HeLa-S3,1.00707992442775,21631,154,0.486553999551408
ATF3,K562,ATF3_K562,0.99919854434561,7874,1517,0.518254207808977
CUX1,MCF-7,CUX1_MCF-7,0.966971890501846,4222,36,0.62220558268128
SRF,MCF-7,SRF_MCF-7,0.950295394598561,10373,90,0.708340514053556
MAFK,MCF-7,MAFK_MCF-7,0.937438375120011,17623,155,0.801393566368397
NFIC,K562,NFIC_K562,0.933265345823315,3510,724,0.955835635036699
NFE2L2,HepG2,NFE2L2_HepG2,0.928056445832339,4507,237,0.875302045208643
PKNOX1,K562,PKNOX1_K562,0.926413257298761,12253,2546,0.999760630087023
SRF,HepG2,SRF_HepG2,0.920478664519993,4225,224,0.892312438194535
NFE2L2,HeLa-S3,NFE2L2_HeLa-S3,0.911355846138929,11440,90,0.825243752759876
ZKSCAN1,K562,ZKSCAN1_K562,0.90483691333777,1302,277,0.937720040572617
MAFK,HepG2,MAFK_HepG2,0.885368150999875,21300,1174,0.999969318913396
TFE3,K562,TFE3_K562,0.88032228010121,2785,609,0.997731765402602
FOSL1,HepG2,FOSL1_HepG2,0.872230450641566,11725,656,0.999617706821127
ZNF384,HepG2,ZNF384_HepG2,0.871642452049578,139698,7818,1
ZNF460,HepG2,ZNF460_HepG2,0.8666442316396,42484,2392,0.999999999987977
HEY1,K562,HEY1_K562,0.866272127049922,81,18,0.75935150309462
SREBF2,K562,SREBF2_K562,0.866271944460894,108,24,0.778337041368126
ZNF24,HepG2,ZNF24_HepG2,0.865666228269579,9987,563,0.99949646215297
ETV1,K562,ETV1_K562,0.846892781843999,10401,2364,0.999999999999647
TFAP4,HepG2,TFAP4_HepG2,0.840968942567908,28764,1669,0.99999999999095
MXI1,K562,MXI1_K562,0.833304155669224,632,146,0.977544127172132
ZNF317,HepG2,ZNF317_HepG2,0.814185675189493,6123,367,0.999910770395993
HOXA5,HepG2,HOXA5_HepG2,0.809168119791814,514,31,0.891539912758137
TBX2,HepG2,TBX2_HepG2,0.799088814510086,7254,443,0.999996050214941
ATF2,HepG2,ATF2_HepG2,0.79712352761503,19521,1195,0.999999999999921
TEAD1,K562,TEAD1_K562,0.791846383261915,1740,423,0.999988655487017
ZKSCAN1,HeLa-S3,ZKSCAN1_HeLa-S3,0.788940515744725,2971,27,0.905712057447683
JUN,K562,JUN_K562,0.783757165924774,3868,950,0.999999999977212
MGA,K562,MGA_K562,0.770322033948902,2341,585,0.999999983609174
ETS2,K562,ETS2_K562,0.770019736712688,36,9,0.820143520867604
ZBTB26,HepG2,ZBTB26_HepG2,0.763946694339279,6982,446,0.99999995220159
MAFK,HeLa-S3,MAFK_HeLa-S3,0.762292382399644,31260,294,0.999996193175839
DLX6,HepG2,DLX6_HepG2,0.759756336697755,685,44,0.964370652899721
ATF4,HepG2,ATF4_HepG2,0.755984321286373,852,55,0.978612482164386
RREB1,HepG2,RREB1_HepG2,0.747674827901579,18050,1178,1
GABPA,K562,GABPA_K562,0.732971466896803,14023,3682,1
ZKSCAN1,HepG2,ZKSCAN1_HepG2,0.732017005834639,2475,165,0.999916606937131
NR2F2,MCF-7,NR2F2_MCF-7,0.730098463983709,20456,231,0.999997545554063
TBX3,HepG2,TBX3_HepG2,0.727032242806725,2041,137,0.999776655120106
ETV6,K562,ETV6_K562,0.721597449247339,1297,346,0.999999927587737
MEIS2,HepG2,MEIS2_HepG2,0.716998938830035,2674,182,0.999986241527622
MIXL1,HepG2,MIXL1_HepG2,0.712555592283561,2380,163,0.999973633312209
ESRRB,K562,ESRRB_K562,0.712268105371568,37,10,0.873938236336731
HSF2,HepG2,HSF2_HepG2,0.683493254735741,4622,330,0.999999999902899
USF1,HepG2,USF1_HepG2,0.679893871833937,25181,1807,1
CLOCK,K562,CLOCK_K562,0.673765557289699,126,36,0.983486069495438
ESR1,MCF-7,ESR1_MCF-7,0.661940264394062,37096,462,1
USF2,HeLa-S3,USF2_HeLa-S3,0.66060392753575,36675,398,0.999999999999995
ZNF282,K562,ZNF282_K562,0.657337211467492,881,258,0.999999995279154
SREBF1,K562,SREBF1_K562,0.643136528712975,294,88,0.999816343700271
JUN,HepG2,JUN_HepG2,0.63334818390175,10851,836,1
MEIS1,HepG2,MEIS1_HepG2,0.628727432225667,773,60,0.999579332742375
NFIB,MCF-7,NFIB_MCF-7,0.625739423120924,139961,1843,1
NKX3-1,HepG2,NKX3-1_HepG2,0.622225480097182,153,12,0.954609335396909
TP53,HepG2,TP53_HepG2,0.619928098488818,2655,209,0.999999999825856
TCF3,K562,TCF3_K562,0.607639908742584,3040,963,1
MNT,K562,MNT_K562,0.597269315091653,6011,1937,1
ZSCAN29,K562,ZSCAN29_K562,0.595633072589818,1018,329,0.999999999999998
SMAD3,HepG2,SMAD3_HepG2,0.588388496898683,1061,88,0.999996924278425
ATF7,HepG2,ATF7_HepG2,0.586965928114773,15471,1286,1
TFCP2,K562,TFCP2_K562,0.583926207102389,273,90,0.999991305706972
ZKSCAN5,HepG2,ZKSCAN5_HepG2,0.582068575328306,6322,530,1
TEAD2,K562,TEAD2_K562,0.578330223653978,1370,456,1
ELF1,K562,ELF1_K562,0.567784090526455,13734,4654,1
ZKSCAN1,MCF-7,ZKSCAN1_MCF-7,0.566160690487377,1854,27,0.997673743847346
RFX1,K562,RFX1_K562,0.550131270140669,6709,2347,1
CREB1,HepG2,CREB1_HepG2,0.549658714145497,13440,1193,1
