TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
GATA2,K562,GATA2_K562,6.38686657850915,9183,327,0
GATA1,K562,GATA1_K562,6.11443749215947,2743,102,7.55433258497191e-130
GATA2,HepG2,GATA2_HepG2,4.48318618137959,6975,85,1.51633982301093e-72
LEF1,K562,LEF1_K562,4.48207965749889,4376,222,7.76767554217404e-168
FOXA1,K562,FOXA1_K562,4.30924061760219,417,22,5.68151835148906e-17
STAT3,HeLa-S3,STAT3_HeLa-S3,4.22428406464466,17328,34,5.86356720617919e-28
HNF1A,HepG2,HNF1A_HepG2,4.08632441948358,17499,234,1.60951355805678e-166
HNF4A,HepG2,HNF4A_HepG2,3.62873838912357,38836,585,0
TCF7,HepG2,TCF7_HepG2,3.5059147602268,11101,173,1.41108063648424e-92
HNF4G,HepG2,HNF4G_HepG2,3.31800135133133,21191,349,2.68283746727195e-165
MEF2D,K562,MEF2D_K562,3.13256732713186,2728,198,3.40050738752138e-75
RUNX1,K562,RUNX1_K562,2.9587886272408,911,70,1.29366316505769e-24
CEBPA,HepG2,CEBPA_HepG2,2.95369114100679,24539,454,3.4291020482477e-167
KLF10,K562,KLF10_K562,2.88725980205199,127,10,0.000162879509399682
CEBPD,HepG2,CEBPD_HepG2,2.83787403194048,9921,191,2.08223456872404e-65
MAFG,K562,MAFG_K562,2.80858026620253,10559,855,1.22242193903148e-248
FOXA1,MCF-7,FOXA1_MCF-7,2.77969938080681,54739,182,1.71461800407721e-61
NFE2L1,K562,NFE2L1_K562,2.77813181624134,3971,325,2.07498481128574e-93
FOXA1,HepG2,FOXA1_HepG2,2.76351775535271,31705,627,1.30961291802458e-197
TCF7L2,HepG2,TCF7L2_HepG2,2.72806545596703,21817,437,2.99444539804779e-134
NR2F2,HepG2,NR2F2_HepG2,2.69016525555771,7780,158,3.54006715262687e-48
FOXA3,K562,FOXA3_K562,2.63864236565874,3029,261,9.58366429981992e-67
IRF9,K562,IRF9_K562,2.59969555101197,1052,92,7.81273082864603e-24
