TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
JUND_HepG2,JUND,HepG2,0.169947441781357,129541,16283,1,46.019
JUND_K562,JUND,K562,0.107819985368894,50707,29790,1,41.064
KLF6_HepG2,KLF6,HepG2,0.0338120799205169,14819,9365,1,38.078
LEF1_K562,LEF1,K562,0.131197686456134,7818,3778,1,13.493
MAFF_HepG2,MAFF,HepG2,0.494470533823941,112558,4866,1,13.95
MAFG_HepG2,MAFG,HepG2,0.135335470034035,5748,908,1,21.655
MAFG_K562,MAFG,K562,0.355732787470664,59085,10529,1,26.117
MAX_H1,MAX,H1,0.0519945464971046,79161,1276,1,12.441
MAX_HeLa-S3,MAX,HeLa-S3,0.115317933526482,30088,2915,1,18.096
MAX_HepG2,MAX,HepG2,0.0846858208501187,34688,8753,1,12.946
MAX_K562,MAX,K562,0.0776116038376656,22448,18328,1,22.247
MAZ_HeLa-S3,MAZ,HeLa-S3,0.0572344250126182,63334,12356,1,45.276
MAZ_HepG2,MAZ,HepG2,0.0347951821103882,80915,49572,1,80.09
MAZ_K562,MAZ,K562,0.0255533680995763,50793,125444,1,76.867
MEF2A_HepG2,MEF2A,HepG2,0.0757402702112676,4092,1155,1,14.559
MGA_K562,MGA,K562,0.096217961965256,5682,3744,1,11.829
MLX_HepG2,MLX,HepG2,0.041869953558303,3739,1909,1,61.019
MLX_K562,MLX,K562,0.0630269083090439,331,333,1,37.419
MXI1_HeLa-S3,MXI1,HeLa-S3,0.116594592456836,7200,690,1,11.481
MXI1_HepG2,MXI1,HepG2,0.0573972424661491,3638,1355,1,13.788
MXI1_K562,MXI1,K562,0.060457919929255,1128,1183,1,13.548
MYBL2_HepG2,MYBL2,HepG2,0.0583238063018488,2308,846,1,11.413
MYBL2_K562,MYBL2,K562,0.0844641154124928,353,265,1,31.959
MYC_H1,MYC,H1,0.0394318261704553,26383,561,1,47.639
MYC_HeLa-S3,MYC,HeLa-S3,0.100376684234935,18570,2067,1,141.813
MYC_HepG2,MYC,HepG2,0.0485534697950966,21366,9403,1,62.761
MYC_K562,MYC,K562,0.0452994261462033,14929,20881,1,87.278
NFATC3_HepG2,NFATC3,HepG2,0.0717549668757921,537,160,1,41.535
NFATC3_K562,NFATC3,K562,0.144854949250673,2842,1244,1,56.333
NFE2_K562,NFE2,K562,0.177329968133787,34787,12434,1,143.183
NFE2L1_HepG2,NFE2L1,HepG2,0.0676848705171915,1431,452,1,148.277
NFE2L1_K562,NFE2L1,K562,0.13175541770855,9805,4718,1,28.465
