TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
FOS,HeLa-S3,FOS_HeLa-S3,0.146352866286281,57695,4404,1
NFATC3,K562,NFATC3_K562,0.144854949250673,2842,1244,1
FOSL1,K562,FOSL1_K562,0.142532558754202,87919,39062,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.141674782549417,31080,2451,1
ESRRB,K562,ESRRB_K562,0.141612173602048,67,30,0.999999999999995
SPI1,K562,SPI1_K562,0.141005842563146,63522,28538,1
ISX,HepG2,ISX_HepG2,0.140494967660162,184,28,0.999999999999998
ZNF274,HepG2,ZNF274_HepG2,0.139394985769567,8620,1322,1
SRF,HepG2,SRF_HepG2,0.137947812618239,9705,1504,1
STAT3,HeLa-S3,STAT3_HeLa-S3,0.137917835173006,21935,1777,1
ZNF652,HepG2,ZNF652_HepG2,0.136789946189229,17111,2674,1
MAFG,HepG2,MAFG_HepG2,0.135335470034035,5748,908,1
ZBTB33,MCF-7,ZBTB33_MCF-7,0.135305830264913,2615,98,1
REST,H1,REST_H1,0.135258428574455,119382,740,1
ZNF460,HepG2,ZNF460_HepG2,0.133988360960935,115314,18382,1
PKNOX1,K562,PKNOX1_K562,0.133784914564488,40219,19050,1
PKNOX1,MCF-7,PKNOX1_MCF-7,0.133541285176886,103465,3927,1
CTCF,HeLa-S3,CTCF_HeLa-S3,0.133040740196829,516607,43289,1
NFIC,K562,NFIC_K562,0.13238485195866,12120,5804,1
NFE2L1,K562,NFE2L1_K562,0.13175541770855,9805,4718,1
NFE2L2,HeLa-S3,NFE2L2_HeLa-S3,0.131256161101016,15342,1306,1
LEF1,K562,LEF1_K562,0.131197686456134,7818,3778,1
PRDM1,HeLa-S3,PRDM1_HeLa-S3,0.130590369798569,13020,1114,1
IKZF1,K562,IKZF1_K562,0.128665042300264,46111,22707,1
MEIS2,K562,MEIS2_K562,0.127989890808218,9864,4886,1
GATA1,K562,GATA1_K562,0.12766810861607,4744,2356,1
ESRRA,MCF-7,ESRRA_MCF-7,0.12757222698964,34900,1387,1
ZNF24,MCF-7,ZNF24_MCF-7,0.127375620272327,115937,4613,1
CEBPG,HepG2,CEBPG_HepG2,0.125988908699764,27857,4726,1
TEAD4,MCF-7,TEAD4_MCF-7,0.124164495540466,15256,623,1
USF2,K562,USF2_K562,0.122961216435562,40350,20793,1
CEBPA,HepG2,CEBPA_HepG2,0.122353324118114,51147,8933,1
FOSL2,MCF-7,FOSL2_MCF-7,0.12161615535686,136484,5687,1
ESRRA,K562,ESRRA_K562,0.119279005919939,18059,9597,1
REST,HepG2,REST_HepG2,0.118947454943877,23979,4309,1
MSX2,MCF-7,MSX2_MCF-7,0.118511147584786,818,35,1
NR2F1,K562,NR2F1_K562,0.118354320136596,34762,18612,1
USF2,HepG2,USF2_HepG2,0.117103643011741,33346,6086,1
TEAD1,K562,TEAD1_K562,0.117076608821286,3597,1948,1
NR4A1,K562,NR4A1_K562,0.117023382343837,4330,2346,1
MXI1,HeLa-S3,MXI1_HeLa-S3,0.116594592456836,7200,690,1
NR3C1,K562,NR3C1_K562,0.116494001025642,316,172,1
RELA,K562,RELA_K562,0.115842446338926,1436,786,1
MAX,HeLa-S3,MAX_HeLa-S3,0.115317933526482,30088,2915,1
NFYA,HeLa-S3,NFYA_HeLa-S3,0.115315288681974,16472,1596,1
BACH1,H1,BACH1_H1,0.115206997464907,67185,489,1
FOXA1,HepG2,FOXA1_HepG2,0.114862310367549,61677,11473,1
NFE2,HepG2,NFE2_HepG2,0.114656501005566,3309,617,1
ZNF384,K562,ZNF384_K562,0.114547665912378,229757,126633,1
TEAD2,K562,TEAD2_K562,0.114281227432563,2855,1584,1
ELK3,K562,ELK3_K562,0.114135103036023,90,50,1
FOSL2,HepG2,FOSL2_HepG2,0.11389493632381,91314,17125,1
ZNF317,HepG2,ZNF317_HepG2,0.111257272413347,13152,2527,1
NFIB,HepG2,NFIB_HepG2,0.11089420475985,8279,1596,1
REST,MCF-7,REST_MCF-7,0.110806038917286,45266,2071,1
FOXK2,K562,FOXK2_K562,0.10992187559966,9134,5268,1
TFAP4,HepG2,TFAP4_HepG2,0.109759190714468,52985,10315,1
JUND,K562,JUND_K562,0.107819985368894,50707,29790,1
BCL6,HepG2,BCL6_HepG2,0.10756970714607,24152,4799,1
TEAD4,K562,TEAD4_K562,0.107174264338901,8040,4756,1
NFIA,HepG2,NFIA_HepG2,0.106420767541798,7258,1458,1
HSF2,HepG2,HSF2_HepG2,0.10569037920212,9270,1875,1
JUND,MCF-7,JUND_MCF-7,0.105626603508163,62388,2994,1
TP53,HepG2,TP53_HepG2,0.105468789352938,7124,1444,1
HNF4A,HepG2,HNF4A_HepG2,0.104599704016168,64701,13215,1
RFX7,K562,RFX7_K562,0.104437404972989,56,34,1
GATA2,K562,GATA2_K562,0.104150317471521,14600,8886,1
RORA,HepG2,RORA_HepG2,0.102989858858006,448,93,1
RARA,HepG2,RARA_HepG2,0.102887299551867,35944,7466,1
JUNB,K562,JUNB_K562,0.102778705095586,26296,16214,1
NR5A1,HepG2,NR5A1_HepG2,0.102270402333332,33646,7031,1
TEAD4,H1,TEAD4_H1,0.101617493115682,90055,743,1
BACH1,K562,BACH1_K562,0.101154746114207,15960,10001,1
GABPA,HeLa-S3,GABPA_HeLa-S3,0.100502778457096,19412,2158,1
ATF7,K562,ATF7_K562,0.100382195985663,18655,11779,1
MYC,HeLa-S3,MYC_HeLa-S3,0.100376684234935,18570,2067,1
RUNX1,K562,RUNX1_K562,0.100173464547967,1711,1083,1
NR3C1,HepG2,NR3C1_HepG2,0.0997718036709978,112,24,1
ZKSCAN5,HepG2,ZKSCAN5_HepG2,0.0997250472110864,14523,3113,1
ONECUT2,HepG2,ONECUT2_HepG2,0.0994056137893654,8942,1923,1
OVOL1,MCF-7,OVOL1_MCF-7,0.0984046557733589,10480,540,1
RFX1,HepG2,RFX1_HepG2,0.0981744761453591,14435,3143,1
NR2F2,K562,NR2F2_K562,0.0980290277197477,5874,3799,1
NFIL3,HepG2,NFIL3_HepG2,0.0962203303258444,22563,5012,1
MGA,K562,MGA_K562,0.096217961965256,5682,3744,1
TBX18,K562,TBX18_K562,0.0959046712020988,1207,798,1
KLF10,K562,KLF10_K562,0.0957795713603729,287,190,1
USF1,K562,USF1_K562,0.0956453456335406,25211,16704,1
CTCF,MCF-7,CTCF_MCF-7,0.0955776691320454,713920,37708,1
CLOCK,MCF-7,CLOCK_MCF-7,0.0933289468839603,8835,480,1
ESRRA,HepG2,ESRRA_HepG2,0.0914252806653034,17280,4040,1
ZEB1,HepG2,ZEB1_HepG2,0.0912745904974682,10982,2572,1
NR2C1,K562,NR2C1_K562,0.0910391179415352,11235,7823,1
SMAD3,HepG2,SMAD3_HepG2,0.0907537466691912,1681,396,1
E2F4,HeLa-S3,E2F4_HeLa-S3,0.0905674208755633,2156,266,1
MEF2D,HepG2,MEF2D_HepG2,0.0893294036843824,7158,1713,1
ZSCAN29,K562,ZSCAN29_K562,0.0891210165011346,3545,2522,1
JUN,K562,JUN_K562,0.0888795659612888,8921,6363,1
JUN,MCF-7,JUN_MCF-7,0.0886999176386537,6315,361,1
NR2F1,HepG2,NR2F1_HepG2,0.0879754914247255,33004,8017,1
PBX2,HepG2,PBX2_HepG2,0.0876205282256496,1000,244,1
