TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
ZNF24,K562,ZNF24_K562,1.14193747618811,4.97234395341863e-20,10465,8477,4.13257030795237e-19
ZNF263,HepG2,ZNF263_HepG2,0.513028593030868,1,18357,11537,1
ZNF263,K562,ZNF263_K562,0.338874601598703,1,1801,4914,1
ZNF274,HepG2,ZNF274_HepG2,0.547580228519017,1,1300,766,1
ZNF274,K562,ZNF274_K562,1.16513667250807,0.177157110469334,97,77,0.662567593155309
ZNF282,HepG2,ZNF282_HepG2,0.322665327997222,0.999558368764159,16,16,1
ZNF282,K562,ZNF282_K562,0.80943637806472,0.999957927685736,638,729,1
ZNF317,HepG2,ZNF317_HepG2,1.05642398513012,0.0612530364025719,3441,1051,0.243708889516616
ZNF384,HepG2,ZNF384_HepG2,0.755963607736041,1,76624,32671,1
ZNF384,K562,ZNF384_K562,0.839634601234299,1,41936,46162,1
ZNF460,HepG2,ZNF460_HepG2,1.23632016869678,1.71565096810094e-54,24816,6478,2.29161950739197e-53
ZNF652,HepG2,ZNF652_HepG2,1.14298949824326,0.000107846803313577,3436,970,0.000545063573503754
ZNF740,HepG2,ZNF740_HepG2,0.371419048841468,1,13106,11375,1
ZNF740,K562,ZNF740_K562,0.323342983978165,1,8712,24880,1
ZSCAN29,HepG2,ZSCAN29_HepG2,0.572989455204347,1,1133,638,1
ZSCAN29,K562,ZSCAN29_K562,0.595962240540813,1,636,987,1
